TIG_PostNL::Errors only,Errors only
TIG_PostNL::Full,Full
TIG_PostNL::Domestic options,Domestic options
TIG_PostNL::Standard shipment,Standard shipment
TIG_PostNL::Post Office + Extra Cover,Post Office + Extra Cover
TIG_PostNL::Post Office + Extra Cover + Notification,Post Office + Extra Cover + Notification
TIG_PostNL::Post Office + Signature on Delivery,Post Office + Signature on Delivery
TIG_PostNL::Post Office + Signature on Delivery + Notification,Post Office + Signature on Delivery + Notification
TIG_PostNL::EU options,EU options
TIG_PostNL::EU Pack Special Consumer (incl. signature),EU Pack Special Consumer (incl. signature)
"TIG_PostNL::EU Pack Standard (Belgium only, no signature)","EU Pack Standard (Belgium only, no signature)"
TIG_PostNL::Global options,Global options
TIG_PostNL::Use default,Use default
TIG_PostNL::Standard options,Standard options
TIG_PostNL::Global options,Global options
TIG_PostNL::(default),(default)
TIG_PostNL::PostNL extension has been successfully updated to version v%s.,PostNL extension has been successfully updated to version v%s.
TIG_PostNL::Test,Test
TIG_PostNL::Live,Live
TIG_PostNL::Your shipment has been shipped on %s. Click %s to track your shipment.,Your shipment has been shipped on %s. Click %s to track your shipment.
TIG_PostNL::You currently do not use split street lines.,You currently do not use split street lines.
"TIG_PostNL::Not using split street lines may cause errors in shipment processing as PostNL cannot support every possible address syntax. We strongly recommend using split street lines to avoid problems when using PostNL shipping. For more information, please contact PostNL support.","Not using split street lines may cause errors in shipment processing as PostNL cannot support every possible address syntax. We strongly recommend using split street lines to avoid problems when using PostNL shipping. For more information, please contact PostNL support."
TIG_PostNL::You have configured the extension for test mode only. You still must enter a live username and password before you may use the extension for real shipments.,You have configured the extension for test mode only. You still must enter a live username and password before you may use the extension for real shipments.
TIG_PostNL::You have not yet fully configured the extension. You must complete this process before you can use it.,You have not yet fully configured the extension. You must complete this process before you can use it.
TIG_PostNL::Are you planning to ship outside of the EU? Activate GlobalPack with the details you have received from PostNL. You can ignore the GlobalPack settings for domestic shipping and shipping within the EU.,Are you planning to ship outside of the EU? Activate GlobalPack with the details you have received from PostNL. You can ignore the GlobalPack settings for domestic shipping and shipping within the EU.
TIG_PostNL::You have not yet configured PostNL Checkout. Please complete this process if you wish to use PostNL Checkout.,You have not yet configured PostNL Checkout. Please complete this process if you wish to use PostNL Checkout.
TIG_PostNL::Previous page,Previous page
TIG_PostNL::Page,Page
TIG_PostNL::Next page,Next page
TIG_PostNL::Reported at PostNL,Reported at PostNL
TIG_PostNL::Sorted,Sorted
TIG_PostNL::In Distribution,In Distribution
TIG_PostNL::Delivered,Delivered
TIG_PostNL::Extra cover amount (in increments of 500),Extra cover amount (in increments of 500)
TIG_PostNL::Number of parcels,Number of parcels
TIG_PostNL::Shipment type,Shipment type
TIG_PostNL::Treat as abandoned,Treat as abandoned
TIG_PostNL::Please fill out these additional fields.,Please fill out these additional fields.
TIG_PostNL::PostNL: It appears that your cron is not working properly.,PostNL: It appears that your cron is not working properly.
TIG_PostNL::PostNL requires the cron to be active in order to function.,PostNL requires the cron to be active in order to function.
TIG_PostNL::Checkout Summary,Checkout Summary
TIG_PostNL::Billing Address,Billing Address
TIG_PostNL::Shipping Address,Shipping Address
TIG_PostNL::Collection Address,Collection Address
TIG_PostNL::Payment Method,Payment Method
TIG_PostNL::Shipping Method,Shipping Method
TIG_PostNL::Items Ordered,Items Ordered
TIG_PostNL::Product Name,Product Name
TIG_PostNL::Qty,Qty
TIG_PostNL::Subtotal,Subtotal
TIG_PostNL::Return to the shopping cart.,Return to the shopping cart.
TIG_PostNL::Confirm Order,Confirm Order
TIG_PostNL::Cancel,Cancel
TIG_PostNL::Your credit card will be charged for,Your credit card will be charged for
TIG_PostNL::Loading...,Loading...
TIG_PostNL::How does it work?,How does it work?
TIG_PostNL::An error occurred. Please use our regular checkout instead.,An error occurred. Please use our regular checkout instead.
TIG_PostNL::You have not yet enabled PostNL Checkout.,You have not yet enabled PostNL Checkout.
TIG_PostNL::%s > %s is required.,%s > %s is required.
TIG_PostNL::You need to enable at least one payment method.,You need to enable at least one payment method.
TIG_PostNL::You have not yet enabled the extension.,You have not yet enabled the extension.
TIG_PostNL::No PostNL shipping method has been enabled. You can enable the PostNL shipping method under %sSystem > Config > Shipping Methods%s.,No PostNL shipping method has been enabled. You can enable the PostNL shipping method under %sSystem > Config > Shipping Methods%s.
TIG_PostNL::The shop's base currency code must be set to EUR for PostNL to function.,The shop's base currency code must be set to EUR for PostNL to function.
TIG_PostNL::The extension has not been activated.,The extension has not been activated.
TIG_PostNL::Product code %s is not allowed for this shipment.,Product code %s is not allowed for this shipment.
TIG_PostNL::PostNL Checkout is not available due to the following reasons:,PostNL Checkout is not available due to the following reasons:
TIG_PostNL::Click here for more information from the TIG knowledgebase.,Click here for more information from the TIG knowledgebase.
"TIG_PostNL::This action is not available for shipment #%s, because it was not shipped using PostNL.","This action is not available for shipment #%s, because it was not shipped using PostNL."
TIG_PostNL::Shipment #%s cannot be confirmed at this time.,Shipment #%s cannot be confirmed at this time.
"TIG_PostNL::Shipment #%s could not be confirmed, because for EU shipments you may only confirm a shipment after it's labels have been printed.","Shipment #%s could not be confirmed, because for EU shipments you may only confirm a shipment after it's labels have been printed."
TIG_PostNL::Show error details in the frontend,Show error details in the frontend
"TIG_PostNL::If set to 'yes', error details will be shown in the frontend when an error occurs. Error details include the error code as well as a link to the TIG knowledgebase article concerning the error. This is useful for debugging purposes, but should be disabled in a production environment.","If set to 'yes', error details will be shown in the frontend when an error occurs. Error details include the error code as well as a link to the TIG knowledgebase article concerning the error. This is useful for debugging purposes, but should be disabled in a production environment."
TIG_PostNL::The PostNL extension is not compatible with your Magento version!,The PostNL extension is not compatible with your Magento version!
TIG_PostNL::Invalid Magento edition detected: %s,Invalid Magento edition detected: %s
TIG_PostNL::Invalid rate type requested: %s,Invalid rate type requested: %s
"TIG_PostNL::These settings are intended for advanced users only! If you're not 100% sure what you're doing, please do not touch these settings.","These settings are intended for advanced users only! If you're not 100% sure what you're doing, please do not touch these settings."
TIG_PostNL::This is where you specify which payment options will be presented to your customers in PostNL Checkout. At least one of these must be activated for PostNL Checkout to work.,This is where you specify which payment options will be presented to your customers in PostNL Checkout. At least one of these must be activated for PostNL Checkout to work.
TIG_PostNL::Here you can specify the way GlobalPack shipments are handled. This is very important if you want to ship products to outside the EU. Otherwise you can safely ignore these settings.,Here you can specify the way GlobalPack shipments are handled. This is very important if you want to ship products to outside the EU. Otherwise you can safely ignore these settings.
TIG_PostNL::Shipping preferences,Shipping preferences
"TIG_PostNL::You may specify a separate return address for shipments that could not be delivered. If you do not wish to specify a separate return address, your sender address will be used.","You may specify a separate return address for shipments that could not be delivered. If you do not wish to specify a separate return address, your sender address will be used."
TIG_PostNL::Please fill in your address details. These details are required for the activation of the extension.,Please fill in your address details. These details are required for the activation of the extension.
TIG_PostNL::Invalid UpdateOrder response received!,Invalid UpdateOrder response received!
